Date,Price,Open,High,Low,Vol.,Change %
"Nov 25, 2014",161.3,161.3,161.3,161.3,0,0.09
"Nov 24, 2014",161.15,161.15,161.15,161.15,0,-0.56
"Nov 21, 2014",162.06,162.06,162.06,162.06,0,-0.01
"Nov 20, 2014",162.07,162.07,162.07,162.07,0,-0.34
"Nov 19, 2014",162.63,162.63,162.63,162.63,0,-0.18
"Nov 18, 2014",162.93,162.93,162.93,162.93,0,-0.17
"Nov 17, 2014",163.2,163.2,163.2,163.2,0,-0.31
"Nov 14, 2014",163.7,163.7,163.7,163.7,0,0.66
"Nov 13, 2014",162.63,162.63,162.63,162.63,0,0
"Nov 12, 2014",162.63,162.63,162.63,162.63,0,1.45
"Nov 11, 2014",160.31,160.31,160.31,160.31,0,0.57
"Nov 10, 2014",159.4,159.4,159.4,159.4,0,-0.05
"Nov 07, 2014",159.48,159.48,159.48,159.48,0,0.22
"Nov 06, 2014",159.13,159.13,159.13,159.13,0,-0.05
"Nov 05, 2014",159.21,159.21,159.21,159.21,0,0.39
"Nov 04, 2014",158.59,158.59,158.59,158.59,0,-0.29
"Nov 03, 2014",159.05,159.05,159.05,159.05,0,-0.11
"Oct 31, 2014",159.23,159.23,159.23,159.23,0,-0.28
"Oct 30, 2014",159.68,159.68,159.68,159.68,0,0.2
"Oct 29, 2014",159.36,159.36,159.36,159.36,0,0.6
"Oct 28, 2014",158.41,158.41,158.41,158.41,0,-0.51
"Oct 27, 2014",159.22,159.22,159.22,159.22,0,-0.08
"Oct 24, 2014",159.34,159.34,159.34,159.34,0,-0.92
"Oct 23, 2014",160.82,160.82,160.82,160.82,0,0.15
"Oct 22, 2014",160.58,160.58,160.58,160.58,0,0.46
"Oct 21, 2014",159.84,159.84,159.84,159.84,0,-0.36
"Oct 17, 2014",160.42,160.42,160.42,160.42,0,-0.72
"Oct 16, 2014",161.59,161.59,161.59,161.59,0,-0.18
"Oct 15, 2014",161.88,161.88,161.88,161.88,0,0.09
"Oct 14, 2014",161.73,161.73,161.73,161.73,0,-0.14
"Oct 13, 2014",161.95,161.95,161.95,161.95,0,-0.36
"Oct 10, 2014",162.54,162.54,162.54,162.54,0,0.07
"Oct 09, 2014",162.42,162.42,162.42,162.42,0,-0.14
"Oct 08, 2014",162.65,162.65,162.65,162.65,0,-0.38
"Oct 07, 2014",163.27,163.27,163.27,163.27,0,-0.13
"Oct 06, 2014",163.49,163.49,163.49,163.49,0,-0.1
"Oct 03, 2014",163.66,163.66,163.66,163.66,0,0.02
"Oct 02, 2014",163.63,163.63,163.63,163.63,0,-0.37
"Oct 01, 2014",164.23,164.23,164.23,164.23,0,0.48
"Sep 30, 2014",163.45,163.45,163.45,163.45,0,0.03
"Sep 29, 2014",163.4,163.4,163.4,163.4,0,0.65
"Sep 26, 2014",162.35,162.35,162.35,162.35,0,0.27
"Sep 25, 2014",161.92,161.92,161.92,161.92,0,-1.08
"Sep 24, 2014",163.69,163.69,163.69,163.69,0,-1.06
"Sep 23, 2014",165.45,165.45,165.45,165.45,0,0.05
"Sep 22, 2014",165.36,165.36,165.36,165.36,0,1.57
"Sep 19, 2014",162.8,162.8,162.8,162.8,0,1.06
"Sep 18, 2014",161.1,161.1,161.1,161.1,0,0.73
"Sep 17, 2014",159.93,159.93,159.93,159.93,0,0
"Sep 16, 2014",159.93,161.33,161.33,159.93,0,-0.87
"Sep 15, 2014",161.33,160.72,161.33,160.72,0,1.19
"Sep 12, 2014",159.43,159.43,159.43,159.43,0,0.06
"Sep 11, 2014",159.34,159.34,159.34,159.34,0,-0.38
"Sep 10, 2014",159.94,159.94,159.94,159.94,0,0.08
"Sep 09, 2014",159.82,159.82,159.82,159.82,0,0.03
"Sep 08, 2014",159.78,159.78,159.78,159.78,0,0.21
"Sep 05, 2014",159.44,159.44,159.44,159.44,0,-0.04
"Sep 04, 2014",159.51,159.51,159.51,159.51,0,-0.46
"Sep 03, 2014",160.24,160.24,160.24,160.24,0,0.26
"Sep 02, 2014",159.82,159.82,159.82,159.82,0,0.44
"Sep 01, 2014",159.12,159.12,159.12,159.12,0,0.75
"Aug 29, 2014",157.94,157.94,157.94,157.94,0,0.54
"Aug 28, 2014",157.09,157.09,157.09,157.09,0,-0.15
"Aug 27, 2014",157.32,157.32,157.32,157.32,0,0.1
"Aug 26, 2014",157.17,157.17,157.17,157.17,0,0.26
"Aug 25, 2014",156.77,156.77,156.77,156.77,0,0.22
"Aug 22, 2014",156.43,156.43,156.43,156.43,0,-0.1
"Aug 21, 2014",156.58,156.58,156.58,156.58,0,0
"Aug 20, 2014",156.58,156.58,156.58,156.58,0,0.28
"Aug 19, 2014",156.14,156.14,156.14,156.14,0,0.28
"Aug 18, 2014",155.71,155.71,155.71,155.71,0,0.21
